Target?,"RA,Dec (J2000)....",WDS.......,DD............,ADS..,HD....,HIP...,*V1.11*,*V2.22*,PPPP.PPPPPP,*,eee.eeeeee,AAA.AAAAA,*,ee.eeeee,III.IIII,eee.eeee,NNN.NNNN*,eee.eee,e TTTTT.TTTTTT,*,eee.eeeeee,E.EEEEEE,e.eeeeee,OOO.OOOO,eee.eeee,EQNX,LAST,G,N,REF.....,PNGFILE...........
,005646.94+602146.3,00568+6022,BU 1099AB,784,5408,4440,6.11,6.53,83.1,y,0.2,0.245,a,0.002,54.9,1.1,175.01,0.33,1952.31,y,0.09,0.241,0.002,333.19,0.33,,,2,n,CWA1992,wds00568+6022b.png
,005646.94+602146.3,00568+6022,BAG  10Aa,784,5408,4440,5.56,6.27,4.85,y,.,0.032,a,.,47.6,.,329.9,.,2003.5,y,.,0.224,.,104.4,.,2000,1998,4,n,Doc2006c,wds00568+6022k.png
,005712.43+232503.9,00572+2325,MKT   2Aa,,5516,4463,4.42,.,115.72,d,0.01,10.37,m,0.03,30.5,0.4,69.4,0.5,48013,d,1,0.006,0.002,215,4,,1992,1,n,MkT1993b,wds00572+2325c.png
,005735.79+542344.8,00576+5424,HLD   4,795,5502,,9,9.5,788.16,y,.,0.948,a,.,13.3,.,90.1,.,1990.92,y,.,0.892,.,191.7,.,,1996,5,,Mnt2001c,wds00576+5424e.png
,005818.90+212416.2,00583+2124,BU  302,805,5641,4558,6.6,8.77,331.97,y,3.33,0.651,a,0.046,48.1,1.2,17.2,2.2,2017.54,y,2.99,0.665,0.028,252.2,3.7,2000,1999,4,,Cve2006e,wds00583+2124k.png
,005920.47-004028.3,00593-0040,A  1902,819,5781,4619,8.11,9.17,92.67,y,.,0.346,a,.,56.9,.,121.1,.,1964.91,y,.,0.842,.,270.2,.,2000,1996,3,n,Doc2000g,wds00593-0040d.png
,005923.33+004644.5,00594+0047,STF  80p,818,5780,4624,7.65,.,84.84,y,.,0.276,a,.,71.52,.,8.63,.,1873.71,y,.,0.699,.,277.35,.,1900,1968,9,n,Dom1969,wds00594+0047q.png
,005923.33+004644.5,00594+0047,STF  80p,818,5780,4624,7.65,.,80.92,y,.,0.278,a,.,70.13,.,4.39,.,1872.39,y,.,0.254,.,272.7,.,1900,1968,9,n,Dom1969,wds00594+0047p.png
,005935.07-011130.5,00596-0111,A  1903AB,822,5805,4641,9.28,9.94,128.43,y,.,0.359,a,.,34.7,.,137.3,.,1956.53,y,.,0.154,.,90.1,.,2000,1999,3,n,Doc2007f,wds00596-0111k.png
,010106.46+602130.6,01011+6022,A   926,832,5851,4755,9.23,8.65,253.99,y,7.07,0.318,a,0.016,32.3,3.4,74.2,6,2131.63,y,3.02,0.388,0.027,85.7,8.6,2000,1998,4,,Cve2006e,wds01011+6022k.png
,010121.77+115445.7,01014+1155,BU  867,828,5988,4775,8.23,9.34,232.04,y,18.15,0.813,a,0.009,98.9,1,354.2,0.4,2012.72,y,9.12,0.23,0.01,2.9,20.4,2000,2003,4,n,Hrt2008,wds01014+1155d.png
,010125.08+353443.4,01014+3535,COU 854,,5955,4783,9.95,9.52,59.72,y,.,0.139,a,.,152.7,.,62.5,.,2004.09,y,.,0.161,.,6.8,.,2000,1996,4,,Msn2001a,wds01014+3535b.png
,010130.16+692130.7,01015+6922,A  2901,836,5839,4789,7.12,7.84,1517.34,y,60.15,0.99,a,0.08,69.3,0.9,48.4,0.7,1950.56,y,61.32,0.621,0.033,330.2,0.9,2000,2001,4,n,Nov2007d,wds01015+6922a.png
,010143.49+251732.1,01017+2518,HDS 134,,6009,4809,7.48,7.76,16.41,y,0.11,0.128,a,0.002,58.4,0.5,57.1,0.8,1998.62,y,0.02,0.393,0.012,106.9,0.6,2000,2004,3,,Bag2006,wds01017+2518a.png
,010217.55+055159.9,01023+0552,A  2003,854,6094,4841,10.3,9.32,82.72,y,.,0.197,a,.,72.4,.,133,.,2004.87,y,.,0.109,.,61.7,.,2000,1998,3,n,Doc2004a,wds01023+0552b.png
,010224.37+050339.3,01024+0504,HDS 135,,6101,4849,8.49,10.07,28.99,y,0.58,0.465,a,0.007,144.3,0.8,92.6,2.2,2002.68,y,0.01,0.678,0.005,205.4,1.9,2000,2004,5,n,Bag2006,wds01024+0504a.png
,010245.24+021341.6,01028+0214,A  2308,864,,4886,9.87,11.73,64,y,.,0.267,a,.,56,.,10,.,1985.5,y,.,0.81,.,104.4,.,,1979,4,n,Baz1984a,wds01028+0214a.png
,010249.09+314815.3,01028+3148,sig Psc,,6118,4889,5.51,.,81.12625,d,0.00027,5.56,m,0.04,143.4,1.3,167.8,1.7,43138.153,d,0.023,0.8956,0.002,346.6,2,2000,2002,8,n,Knc2004,wds01028+3148a.png
,010301.47+472234.3,01030+4723,STT  21,862,6114,4911,6.76,8.07,450,y,.,0.816,a,.,87,.,176.7,.,1902,y,.,0.8,.,180,.,2000,1964,5,n,Hei1966,wds01030+4723a.png
,010314.15+200552.2,01032+2006,LDS 873,,,4927,12.24,12.97,521.39,y,.,3.366,a,.,53.2,.,92.5,.,2079.31,y,.,0.711,.,81,.,2000,1999,5,,FMR2008b,wds01032+2006u.png
,010337.18+634116.0,01036+6341,MLR  87,,6129,4963,8.68,9.51,55.97,y,.,0.238,a,.,145.1,.,139.7,.,2020.45,y,.,0.513,.,246.4,.,2000,2003,4,,Bdl2007b,wds01036+6341c.png
,010358.75+352810.1,01040+3528,HO  213,873,6264,4990,7.81,8.29,500,y,50,0.354,a,0.065,33.2,5,111.7,10,1995.82,y,25,0.156,0.1,353.2,15,2000,2001,4,n,Doc2007d,wds01040+3528c.png
,010448.29+013516.0,01048+0135,A  2310,884,6387,5064,9.49,10.36,131.46,y,.,0.249,a,.,117.7,.,122.7,.,1930.27,y,.,0.444,.,326.2,.,2000,1996,4,n,Doc2001a,wds01048+0135a.png
,010456.22+364923.3,01049+3649,A  1515,883,,,9.7,10,170.14,y,.,0.237,a,.,68.9,.,111.6,.,2036.97,y,.,0.053,.,282.1,.,2000,1999,3,n,Doc2004c,wds01049+3649b.png
,010532.41+210714.8,01055+2107,AG   14,896,6439,5115,10.01,10.06,163,y,.,0.62,a,.,137.5,.,31,.,1975,y,.,0.42,.,354,.,,,4,n,Hei1998,wds01055+2107b.png
,010605.11-464306.6,01061-4643,SLR   1AB,,6595,5165,4.1,4.19,195,y,.,1.06,a,.,134.3,.,137.8,.,2003.9,y,.,0.66,.,294.3,.,2000,1999,5,n,Ary2001a,wds01061-4643a.png
,010709.16+383901.7,01072+3839,A  1516AB,918,6586,5249,8.6,8.29,33.72,y,0.15,0.131,a,0.001,23.9,1.7,104.1,2.6,1997.49,y,0.11,0.232,0.008,97.1,3.1,2000,1996,2,n,Hrt2000a,wds01072+3839b.png
,010747.83-412913.0,01078-4129,RST3352,,6767,5300,5.54,6.88,29,y,.,0.25,a,.,66,.,143,.,1979,y,.,0.46,.,329,.,2000,,3,n,Sod1999,wds01078-4129a.png
,022232.42-234858.7,02225-2349,kap For,,14802,11072,5.19,.,26.5,y,.,0.85,a,.,56,.,133,.,1983.6,y,.,0.2,.,22,.,,,9,n,Gon2002a,wds02225-2349b.png
,010823.08-551444.7,01084-5515,RST1205AB,,6882,5348,4.02,6.8,210.37,y,61.4,0.804,a,0.132,61.9,3.7,33.5,9.3,2122.81,y,0.4,0.348,0.17,271.7,23.5,2000,1999,5,n,Lin2004a,wds01084-5515b.png
,010922.09-563542.4,01094-5636,HU 1342,,6996,5428,7.78,8.25,80,y,.,0.272,a,.,119.2,.,155.1,.,1967.3,y,.,0.46,.,4.8,.,2000,1983,4,n,Hei1984a,wds01094-5636a.png
,010930.12+471430.6,01095+4715,STT 515AB,940,6811,5434,4.59,5.61,391,y,.,0.45,a,.,148,.,142.3,.,1886.926,y,.,0.258,.,249,.,2000,2000,4,n,Sca2001d,wds01095+4715a.png
,011028.86+391643.6,01105+3917,COU1212,,,,9.5,10.2,110,y,.,0.59,a,.,101,.,125,.,1998.51,y,.,0.55,.,73.8,.,,,5,,Cou1999b,wds01105+3917a.png
,011034.31+510047.8,01106+5101,BU  235Aa,963,6918,5512,7.54,7.82,278,y,.,0.74,a,.,52.5,.,122.3,.,1810,y,.,0.442,.,163.4,.,2000,1999,4,,Sey2002,wds01106+5101a.png
,011050.36+674648.1,01108+6747,HDS 155,,6840,5531,7.22,7.68,7.3,y,0.11,0.087,a,0.002,54.7,1.5,151.6,1.3,1995.71,y,0.11,0.72,0.008,219.1,1.4,2000,2004,4,,Bag2006,wds01108+6747a.png
,011114.56+411317.3,01112+4113,A   655,974,7018,5553,8.35,9.36,153.09,y,4.78,0.338,a,0.007,53.1,0.8,157.5,1.1,2040.77,y,2.97,0.185,0.012,290.5,5.3,2000,1995,3,n,Cve2006e,wds01112+4113k.png
,011308.87+114057.6,01131+1141,SAO 92318,,7275,5685,7.86,.,833.3112,d,39.7531,15.06,m,1.47,116.69,5.05,113.31,6.45,48028.0195,d,13.4017,0,.,0,.,,1991,9,n,HIP1997d,wds01131+1141p.png
,011308.90+294159.1,01131+2942,A  1260AB,993,7255,,9.6,9.8,125.38,y,.,0.357,a,.,82.9,.,59.8,.,2013.12,y,.,0.736,.,88.5,.,,1995,4,n,Ole2002c,wds01131+2942a.png
,011407.65+160800.8,01141+1608,87 Psc,,7374,5778,5.96,.,800.9,d,.,2.44,m,1,152.78,36.56,313.4,11.48,19264.1992,d,.,0.31,.,201,.,,1991,9,,HIP1997d,wds01141+1698p.png
,011445.76+605620.8,01148+6056,BU 1100,999,7331,5829,8.94,7.57,75,y,.,0.357,a,.,129,.,77.4,.,1947,y,.,0.88,.,244.7,.,,,4,n,Mlr1955b,wds01148+6056d.png
,011445.76+605620.8,01148+6056,BU 1100,999,7331,5829,8.94,7.57,142.15,y,.,0.53,a,.,108,.,27,.,1909.4,y,.,0,.,0,.,1900,,4,n,Sta1977a,wds01148+6056a.png
,011500.32-684908.7,01158-6853,I    27CD,,7693,5842,7.84,8.44,85.2,y,.,1.14,a,.,35,.,142,.,1919,y,.,0.04,.,141,.,2000,,3,n,Sod1999,wds01158-6853a.png
,011531.26+374436.6,01155+3745,BD+36  212,.,7483,5881,8.87,.,701.4,d,.,7.7,m,1.6,157.2,4.1,236.8,8.1,51791.1,d,.,0.12,.,313,.,,1992,9,,Jnc2005,wds01155+3745u.png
,011545.50-685234.5,01158-6853,HJ 3423AB,,7788,5896,5,7.74,857,y,.,5.96,a,.,127.1,.,10.3,.,1763.5,y,.,0.384,.,284.9,.,2000,1999,5,n,Sca2005b,wds01158-6853d.png
,011546.78+094705.3,01158+0947,A  2102,1016,7564,5898,7.36,9.89,186.46,y,.,0.592,a,.,97.6,.,147.8,.,1934.61,y,.,0.398,.,255.6,.,,1994,5,n,Ole2002c,wds01158+0947a.png
,011937.10-051931.3,01196-0520,A   313,1077,8032,6211,8.97,9.71,131.16,y,.,0.273,a,.,130.1,.,168.8,.,2018.4,y,.,0.16,.,249.2,.,2000,1997,3,n,Sey1999a,wds01196-0520a.png
,011948.29-003032.4,01198-0031,FIN 337BC,1081,8036,6226,7.4,7.6,27.78,y,.,0.117,a,.,21.9,.,258.8,.,1994,y,.,0.163,.,288,.,2000,1994,2,n,Msn1999c,wds01198-0031d.png
,011957.73-154850.7,01200-1549,HJ 2036,1087,8071,6234,7.4,7.61,1443.34,y,.,3.431,a,.,114.1,.,124.8,.,2674.91,y,.,0.092,.,288.9,.,,1999,5,,Ole2002c,wds01200-1549a.png
,012029.96-195654.5,01205-1957,BD-20  249,,8129,6273,7.59,.,2656,d,1349,46,m,34,137,18,195,88,49713,d,1304,0.86,0.15,105,117,,1993,9,,Gln2006,wds01205-1957u.png
,012029.96-195654.5,01205-1957,BD-20  249,,8129,6273,7.59,.,3261,d,2212,55,m,41,128,14,135,84,50344,d,2163,0.84,0.22,95,82,,1993,9,,Gln2006,wds01205-1957v.png
,012119.23+113212.3,01213+1132,BU    4AB,1097,8187,6334,7.12,8.86,242.7,y,.,0.402,a,.,133.1,.,147,.,1943.069,y,.,0.868,.,242.4,.,2000,1998,4,n,Sca2001d,wds01213+1132a.png
,012146.59-240740.9,01218-2408,SEE  13,1102,8281,6367,8.89,9.29,1530.34,y,.,2.021,a,.,67.2,.,207,.,1846.51,y,.,0.9,.,148.1,.,2000,1991,5,n,Hrt2001b,wds01218-2408a.png
,012158.65-694307.6,01220-6943,I   263,,8519,6377,7.66,8.61,4230,y,460,5.04,a,0.49,72.7,1.9,222.8,2.3,1940.8,y,1.9,0.9084,0.0065,321.9,3.2,2000,,5,n,Msn1999a,wds01220-6943b.png
,012321.27+580835.6,01234+5809,STF 115AB,1105,8272,6486,7.1,7.3,222,y,.,0.83,a,.,99,.,137,.,1984.8,y,.,0.93,.,130,.,2000,,3,n,Sod1999,wds01234+5809d.png
,012403.56+542132.9,01241+5422,BD+53  293,,8365,6542,8.25,.,1760,d,415,23,m,6,54,8,138,13,48784,d,359,0.65,0.21,109,24,,1993,9,,Gln2006,wds01241+5422u.png
,012403.56+542132.9,01241+5422,BD+53  293,,8365,6542,8.25,.,1807,d,426,22,m,6,50,7,144,10,48790,d,390,0.62,0.24,99,20,,1993,9,,Gln2006,wds01241+5422v.png
,012420.48-065452.8,01243-0655,BU 1163,1123,8556,6564,6.59,6.98,16.11,y,.,0.199,a,.,117,.,29,.,1988.84,y,.,0.93,.,348,.,2000,,2,n,Sod1999,wds01243-0655a.png
,012506.75+453631.0,01251+4537,A   939,1126,8528,6633,8.94,9.09,122.677,y,.,0.187,a,.,35.3,.,99.4,.,1971.454,y,.,0.14,.,353,.,1900,1977,4,n,Sta1983,wds01251+4537c.png
,012556.13-475354.8,01259-4754,RST  33,,8821,6693,8.13,9.77,189.091,y,.,1.101,a,.,108.92,.,154.55,.,1951.517,y,.,0.891,.,70.96,.,2000,1987,5,n,Sca1990b,wds01259-4754a.png
,012609.29-675032.4,01262-6751,DON  17,,8944,6703,8.81,9.81,345,y,.,1.017,a,.,36,.,162,.,1949,y,.,0.85,.,328,.,,1990,5,n,Hei1991,wds01262-6751a.png
,012739.81+052111.2,01277+0521,BU 1164AB,1158,8875,6815,7.56,8.41,64.678,y,.,0.289,a,.,108.73,.,163.5,.,1944.35,y,.,0.787,.,190.76,.,,1980,3,n,Sta1985,wds01277+0521a.png
,012821.94-431903.8,01284-4319,gam Phe,.,9053,6867,3.41,.,193.8,d,.,5.57,m,0.46,46.3,4,340.2,5.2,19544.9,d,.,0,.,0,.,,1992,9,n,Jnc2005,wds01284-4319u.png
,012941.17+224934.4,01297+2250,A  1910AB,1183,9071,6966,7.5,7.7,70.7,y,1.2,0.1904,a,0.002,119.7,1.1,129.8,1,1985.037,y,0.072,0.7802,0.0054,119.6,1.2,2000,,2,n,Hrt1996a,wds01297+2250a.png
,013113.52+701553.2,01312+7016,38 Cas,.,9021,7078,5.83,.,134.1,d,.,7.95,m,0.15,85.6,4.7,160.5,3.7,29000.4,d,.,0.31,.,188.2,.,,1992,9,n,Jnc2005,wds01312+7016u.png
,013128.99+152045.0,01315+1521,BU  506,1199,9270,7097,3.83,7.51,850.5,y,.,1.228,a,.,58.5,.,32.8,.,2040.3,y,.,0.469,.,86.9,.,2000,2000,5,,Nov2008a,wds01315+1521u.png
,013135.29-532210.1,01316-5322,I   264AB,,9438,7111,8.36,8.84,250,y,.,1.46,a,.,107.4,.,141,.,1889.5,y,.,0.892,.,276.9,.,2000,1995,5,,Sey2002,wds01316-5322a.png
,013256.05-365154.7,01329-3652,GC 1881,,9525,7213,5.5,.,611.4908,d,16.6151,8.08,m,1.19,25.13,27.37,49.33,76.17,48059.0703,d,25.9466,0.516,0.1496,96.57,82.46,,1991,9,n,HIP1997d,wds01329-3652p.png
,013342.41-121246.4,01337-1213,HWE   4,1223,9575,7274,9.23,9.31,146,y,.,0.911,a,.,110.4,.,115.51,.,1927.13,y,.,0.953,.,292.88,.,2000,1978,4,n,Val1981b,wds01337-1213a.png
,013419.42-082727.3,01343-0827,A   314,1232,9626,7324,8.8,9.1,97.86,y,13.3,0.286,a,0.035,119.1,14,8,6.2,2087.09,y,0.4,0.632,0.036,220.9,8.8,2000,1996,4,n,Lin2004a,wds01343-0827b.png
,013429.69+343939.5,01345+3440,A  1913AB,1227,,7337,10.46,10.68,111.21,y,.,0.29,a,.,113.9,.,69.3,.,1925.43,y,.,0.7,.,278.3,.,,1981,4,n,Baz1987d,wds01345+3440a.png
,013430.71+780345.8,01345+7804,HDS 211,,,7338,11.02,12.76,22.74,y,.,0.207,a,.,127.7,.,68.8,.,1996.99,y,.,0.462,.,28.5,.,2000,2006,5,,Doc2007g,wds01345+7804k.png
,013500.96-295438.0,01350-2955,BU 1000AB-C,,9770,7372,7.2,11.5,111.8,y,.,1.4188,a,.,29.3,.,141.8,.,1960.06,y,.,0.21,.,64.6,.,2000,1968,4,n,Nwb1969a,wds01350-2955a.png
,013500.96-295438.0,01350-2955,DAW  31AB,,9770,7372,7.51,8.94,4.56,y,.,0.178,a,.,21.8,.,57.4,.,1932.59,y,.,0.301,.,51.3,.,2000,1991,1,n,Msn1999c,wds01350-2955c.png
,013608.43-295426.8,01361-2954,HJ 3447,,9906,7463,5.97,7.35,1503.58,y,35.32,3.155,a,0.132,55.6,0.8,69.6,0.8,2039.79,y,33.8,0.604,0.019,140.2,2.8,2000,2001,5,n,Cve2006e,wds01361-2954k.png
,013725.09+251003.9,01374+2510,G 34-39,,9939,7564,7.15,9.14,25.208958,d,0.000072,4.944,m,0.018,61.56,0.25,262.29,0.2,451786.408,d,0.063,0.10166,0.00097,313.07,0.88,,2004,8,n,Bod2006,wds01374+2510a.png
,013737.56-092414.6,01376-0924,KUI   7,,10009,7580,6.8,7.2,28.83,y,0.25,0.292,a,0.009,97.4,0.2,161.1,1.7,1989.915,y,0.021,0.748,0.005,248.8,0.3,,1989,2,n,Tok1993,wds01376-0924b.png
,203937.20+045818.7,20396+0458,"KUI  99Aa,B",,196795,101955,8.28,9.63,39,y,.,0.85,a,.,85,.,128,.,1967,y,.,0.1,.,143,.,2000,,3,n,Sod1999,wds20396+0458d.png
,013947.24-561147.2,01398-5612,DUN   5,,10361,J  7751,5.78,5.9,483.66,y,.,7.81689,a,.,142.824,.,13.116 *,.,1813.494,y,.,0.5344,.,18.374,.,2000,1956,5,n,vAb1957,wds01398-5612a.png
,014051.61+495231.3,01409+4952,HU  531AB,1315,,7841,9.5,10,92.8,y,.,0.27,a,.,130.8,.,151,.,1955.5,y,.,0.52,.,324,.,1950,1980,4,n,Baz1984a,wds01409+4952b.png
,014054.30+111713.5,01409+1117,A  2320,1321,10297,7849,9.7,9.7,37.29,y,.,0.156,a,.,59.2,.,74.4,.,1997.49,y,.,0.711,.,54.2,.,2000,1995,3,n,Doc2007a,wds01409+1117k.png
,014146.52+423649.7,01418+4237,MCY   2,,10307,7918,4.95,11,19.5,y,.,0.58,a,.,105,.,33,.,1997.1,y,.,0.43,.,22,.,2000,,4,n,Sod1999,wds01418+4237a.png
,014223.60-064517.3,01424-0645,A     1,1345,10508,7968,8.9,8.75,357.02,y,6.67,0.641,a,0.06,50.8,0.6,76.1,0.7,2205.28,y,2.5,0.299,0.008,1.9,1.9,2000,2003,4,n,Nov2007d,wds01424-0645b.png
,014223.60-064517.3,01424-0645,A     1,1345,10508,7968,8.9,8.75,676.7,y,.,0.989,a,.,44.1,.,163.1,.,1885.316,y,.,0.719,.,303,.,2000,2006,5,n,Sca2008c,wds01424-0645k.png
,014229.95+201612.5,01425+2016,107 Psc,,10476,7981,5.20v,.,207.2707,d,6.1799,4.55,m,2.1,89.01,22.95,12.67,23.8,48213.7852,d,11.9614,0,.,0,.,,1991,9,n,HIP1997d,wds01425+2016p.png
,014344.96+093407.6,01437+0934,BU  509,1360,10619,8078,9.48,9.19,259.68,y,5.8,0.946,a,0.021,117.2,0.6,220.1,0.8,1980.56,y,1.26,0.314,0.006,85.1,3.6,2000,2003,4,n,Hrt2008,wds01437+0934k.png
,014417.91+573212.0,01443+5732,BU  870AB,1359,10543,8115,6.29,8.68,304.037,y,.,1.0149,a,.,124.48,.,17.41,.,2032.9,y,.,0.2992,.,117.65,.,2000,1987,5,n,Pop1995d,wds01443+5732a.png
,014458.89+270247.6,01450+2703,COU 750,,,,9.7,9.7,58.18,y,.,0.356,a,.,80.9,.,23.2,.,2000.4,y,.,0.752,.,247.4,.,2000,2004,5,n,Doc2005c,wds01450+2703c.png
,014500.71+570700.3,01450+5707,BU  453,1371,236857,8166,10.04,10.45,180.44,y,.,0.73,a,.,55.7,.,33.9,.,1791.53,y,.,0.31,.,13.5,.,,1980,4,n,Zul1982a,wds01450+5707b.png
,014538.65-250308.8,01456-2503,HJ 3461AB,1394,10830,8209,5.38,8.5,1192.2,y,36.5,4.652,a,0.202,180,.,0,.,2076.2,y,36,0,.,0,0.4,1900,1968,5,n,Mro1969b,wds01456-2503a.png
,014605.45+634855.8,01461+6349,STF 148,1380,10663,,9,9.6,625.27,y,20.06,1.081,a,0.158,67.6,1.2,147.9,0.9,2013.18,y,17.99,0.689,0.048,121.6,3.6,2000,1997,5,,Nov2007d,wds01461+6349a.png
,014613.37+334318.6,01462+3343,HU  804,1393,10793,8252,9.07,9.84,280.646,y,.,0.4483,a,.,62.8,.,123,.,2155.493,y,.,0.6782,.,111.3,.,,1995,5,n,Ole2001,wds01462+3343a.png
,014620.17+443848.6,01463+4439,A   948AB,1392,10765,,8.8,10.3,480,y,.,0.54,a,.,67.4,.,17.2,.,1883,y,.,0.629,.,309.8,.,2000,1996,5,,Sey2002,wds01463+4439a.png
,014740.51-435815.9,01477-4358,I    52,,11057,8353,8.47,9.1,232,y,.,0.457,a,.,133,.,51,.,1972,y,.,0.87,.,50,.,,1990,5,n,Hei1991,wds01477-4358a.png
,014930.53+564450.9,01495+5645,A   950AB,1437,236885,,9.4,9.9,197,y,.,0.345,a,.,64,.,127.2,.,2037,y,.,0.19,.,208,.,,,4,,Hei1998,wds01495+5645a.png
,014940.24-141356.9,01497-1414,HU  422,1451,11182,8504,9.18,9.01,111.28,y,4,0.259,a,0.004,120.9,1.5,176.4,3,1950.31,y,1,0.473,0.007,307,2,2000,1991,3,n,Doc1999b,wds01497-1414b.png
,014948.86-382412.5,01498-3824,GC 2219,,11262,8514,6.37,.,1122.3937,d,99.3663,11.95,m,0.97,106.34,5.21,79,3.78,48401.3828,d,18.0819,0,.,0,.,,1991,9,n,HIP1997d,wds01498-3824p.png
,014953.13+805311.2,01499+8053,STT  34,1411,10648,8519,7.58,8.12,195.89,y,4.13,0.715,a,0.013,79.8,0.8,113.1,0.8,2025.36,y,1.31,0.62,0.037,263.5,1.1,2000,2003,3,n,Hrt2008,wds01499+8053k.png
,014956.31+765932.0,01499+7700,BD+76   58,,10790,8525,8.08,.,704,d,28,19,m,13,72,12,233,110,48878,d,91,0.9,0.23,122,116,,1993,9,,Gln2006,wds01499+7700u.png
,014956.31+765932.0,01499+7700,BD+76   58,,10790,8525,8.08,.,731,d,32,19,m,16,72,10,231,110,48925,d,107,0.86,0.29,105,100,,1993,9,,Gln2006,wds01499+7700v.png
,015002.13-040734.3,01500-0408,A  2602,1458,,,10.4,10.4,170,y,.,0.43,a,.,79,.,3,.,1991,y,.,0.403,.,102.3,.,2000,1978,5,,Sey2002,wds01500-0408a.png
,015113.34+243908.0,01512+2439,HO  311,1473,11284,8622,8.22,7.82,119.3,y,6.2,0.298,a,0.0062,52.8,1.7,212.8,3.9,1982.72,y,0.4,0.888,0.016,142,3.9,2000,,3,n,Hrt1989,wds01512+2439a.png
,015157.60+132538.0,01520+1326,HU 1213,1482,11364,8703,9.46,9.87,200,y,.,0.13,a,.,139.4,.,81.3,.,1830,y,.,0.725,.,119.6,.,2000,1995,4,,Sey2002,wds01520+1326a.png
,015245.64-044715.7,01528-0447,RST4188,,11488,,9.95,10.02,263,y,.,0.48,a,.,62,.,28,.,2004,y,.,0,.,0,.,,,5,n,Hei1996a,wds01528-0447a.png
,015245.64-044715.7,01528-0447,RST4188,,11488,,9.95,10.02,466.03,y,.,0.662,a,.,47.5,.,113.3,.,2395.22,y,.,0.782,.,124,.,,1995,5,n,Ole1998b,wds01528-0447b.png
,015314.21+152600.3,01532+1526,BU  260,1503,11487,8810,8.75,8.97,931.05,y,31.3,1.303,a,0.1,71.8,0.3,73,0.2,2804.38,y,2.36,0.262,0.007,119.9,2.5,2000,1998,5,,Cve2006e,wds01532+1526k.png
,015333.34+031114.9,01536+0311,xi Psc,,11559,8833,4.62,.,1672.4,d,.,13.1,m,1.66,65.85,12.24,270.13,17.03,37651.5,d,.,0.18,.,71,.,,1991,9,n,HIP1997d,wds01536+0311p.png
,015422.06-422948.8,01544-4230,phi Phe,,11753,8882,5.11,.,877.6541,d,117.3686,5.91,m,0.93,93.51,5.34,161.88,6.94,48589.2617,d,38.5598,0,.,0,.,,1991,9,n,HIP1997d,wds01544-4230p.png
,015438.35+204829.9,01546+2049,MKT   3,,11636,8903,2.64,.,106.9954,d,0.0005,36.1,m,0.3,44.7,1.3,79.1,0.8,44274.276,d,0.009,0.895,0.003,209.1,1.2,,1988,4,n,MkT1990,wds01546+2049b.png
,015438.35+204829.9,01546+2049,MKT   3,,11636,8903,2.64,.,106.9954,d,.,11.32,m,1.33,44.7,.,79.1,.,44274.2773,d,.,0.895,.,24.5,.,,1991,9,n,HIP1997d,wds01546+2049k.png
,015453.75+404207.9,01549+4042,HR  551,.,11613,8922,6.26,.,838,d,.,8.14,m,0.93,23.6,1.8,155.7,4.1,43521.5,d,.,0,.,0,.,,1992,9,,Jnc2005,wds01549+4042u.png
,015507.39+284752.6,01551+2847,STF 183AB,1522,11671,8938,7.67,10,332.79,y,.,0.489,a,.,121.3,.,170.3,.,1966.42,y,.,0.523,.,290.5,.,,1997,3,n,Sey2000a,wds01551+2847b.png
,015522.02+025724.5,01554+0257,A  2407,1530,,8958,10.05,10.5,136.98,y,.,0.597,a,.,41.9,.,151,.,2026.29,y,.,0.178,.,221.4,.,2000,1991,5,n,Mnt2005c,wds01554+0257c.png
,015553.74+015058.3,01559+0151,STF 186,1538,11803,8998,6.79,6.84,165.72,y,.,0.986,a,.,72.4,.,219.7,.,1892.28,y,.,0.726,.,40.2,.,2000,2006,2,n,Bdl2007b,wds01559+0151b.png
,015701.33+310122.4,01570+3101,A   819AB,1548,11849,9087,8.16,9.3,205,y,.,0.54,a,.,56.5,.,176.5,.,2006,y,.,0.4,.,117,.,2000,,4,n,Hei1997,wds01570+3101c.png
,015740.62+443348.0,01577+4434,A  1526,1554,11869,9128,8.7,8.8,877.5,y,.,0.648,a,.,100.2,.,112.6,.,1919.6,y,.,0.449,.,187.4,.,2000,1995,4,,Nov2008a,wds01577+4434u.png
,015845.87-613411.7,01588-6134,alp Hyi,,12311,9236,2.9,.,605.9628,d,4.0765,21.66,m,1.38,42.5,3.88,85.09,6.92,48586.0781,d,5.3707,0.6426,0.0537,233.96,7.56,,1991,9,n,HIP1997d,wds01588-6134p.png
,020052.92-434951.4,02009-4350,I   265,,12439,9408,8.63,9.64,640,y,.,1.07,a,.,65.2,.,40.2,.,1979,y,.,0.725,.,101.8,.,2000,1996,5,,Sey2002,wds02009-4350a.png
,020157.55+705425.4,02020+7054,BU  513AB,1598,12111,9480,4.65,6.74,60.55,y,0.15,0.628,a,0.025,19.4,9.4,188.4,8.6,1965.8,y,1.3,0.386,0.022,244,13,2000,,2,n,Msn1999a,wds02020+7054a.png
,020202.80+024549.5,02020+0246,STF 202AB,1615,12446,9487,4.1,5.17,933.05,y,.,4,a,.,120.9,.,23.3,.,2098.643,y,.,0.696,.,225.4,.,2000,1982,4,n,Sca1983f,wds02020+0246a.png
