Target?,"RA,Dec (J2000)....",WDS.......,DD............,ADS..,HD....,HIP...,*V1.11*,*V2.22*,PPPP.PPPPPP,*,eee.eeeeee,AAA.AAAAA,*,ee.eeeee,III.IIII,eee.eeee,NNN.NNNN*,eee.eee,e TTTTT.TTTTTT,*,eee.eeeeee,E.EEEEEE,e.eeeeee,OOO.OOOO,eee.eeee,EQNX,LAST,G,N,REF.....,PNGFILE...........
,004223.21+041000.0,00424+0410,STT  18AB,588,3972,3326,7.86,9.71,386.51,y,.,3.296,a,.,75.3,.,76.5,.,1828.13,y,.,0.834,.,284.3,.,2000,1999,4,n,Hrt2001b,wds00424+0410a.png
,004241.32-653630.5,00427-6537,I   440,,4125,3351,7.27,8.75,271.78,y,41,0.457,a,0.06,122.4,4.7,63.8,5.3,2220.23,y,2.7,0.645,0.02,352.9,8.9,2000,1991,5,n,Lin2004a,wds00427-6537b.png
,004253.20+204635.6,00429+2047,A  2205,597,,3373,10.26,10.09,160.08,y,.,0.27,a,.,131.6,.,127,.,1962.7,y,.,0.76,.,309.3,.,,1986,5,n,Baz1989a,wds00429+2047b.png
,004303.51+765924.7,00431+7659,HU 1012,584,3871,,9.83,9.71,580,y,.,1.17,a,.,108.3,.,38.8,.,1875,y,.,0.687,.,121.1,.,2000,1995,5,,Sey2002,wds00431+7659a.png
,004322.80+472618.5,00434+4726,A   651,601,,,9.67,10.2,1530,y,.,1.96,a,.,121.3,.,179.3,.,1907,y,.,0.633,.,319.5,.,2000,2000,5,,Sey2002,wds00434+4726a.png
,004443.50+481703.8,00447+4817,omi Cas,622,4180,3504,4.48,.,1033,d,.,7.4,m,1.3,107.2,4.3,274.5,4.7,41665,d,.,0.11,.,79,.,,1992,9,n,Jnc2005,wds00447+4817u.png
,004611.05-221429.3,00462-2214,RST4155,,4397,3606,9.76,10.03,48,y,.,0.195,a,.,138.5,.,28.8,.,1957.2,y,.,0.2,.,13.5,.,,1983,4,n,Hei1984a,wds00462-2214b.png
,004656.67+433849.9,00469+4339,HDS 102,,,3669,10.12,11.65,46.76,y,.,0.229,a,.,118.7,.,38.6,.,2015.92,y,.,0.73,.,67.2,.,2000,2001,5,,Cve2008b,wds00469+4339k.png
,004700.82+231502.5,00470+2315,HU  413,650,4463,3673,9.23,9.26,351.7,y,.,0.623,a,.,52.5,.,44.9,.,2074.21,y,.,0.424,.,25.9,.,,1994,5,,Ole2002c,wds00470+2315a.png
,004808.88+724028.0,00481+7240,HR  212,,4440,3750,5.86,.,1646,d,465,18,m,6,77,8,80,8,49053,d,620,0.74,0.22,35,24,,1993,9,,Gln2006,wds00481+7240u.png
,004808.88+724028.0,00481+7240,HR  212,,4440,3750,5.86,.,1640,d,606,17,m,6,86,6,82,6,49128,d,595,0.82,0.19,36,28,,1993,9,,Gln2006,wds00481+7240v.png
,004844.82+184108.3,00487+1841,BU  495,673,4655,3795,8.34,8.61,143.628,y,4,0.617,a,0.026,107.4,4.6,31.3,5.6,1979.856,y,0.27,0.5,0.01,338.1,12.4,2000,1998,3,n,Sca2000b,wds00487+1841a.png
,004858.71+165628.1,00490+1656,64 PscAa,,4676,3810,5.1,5.2,13.824621,d,0.000017,6.527,m,0.061,73.8,0.92,63.6,0.82,50905.984,d,0.015,0.2376,0.0012,203.56,0.35,,1998,8,n,Bod1999b,wds00490+1656p.png
,004905.10+574859.6,00491+5749,STF  60AB,671,4614,3821,3.52,7.36,480,y,.,11.9939,a,.,34.76,.,278.42,.,1889.6,y,.,0.497,.,268.59,.,1900,1968,3,n,Str1969a,wds00491+5749a.png
,004909.10+571937.6,00492+5720,A   921AB,674,236538,,9,9.5,146.577,y,.,0.213,a,.,56.78,.,160.58,.,2003.38,y,.,0.582,.,90.6,.,,1991,5,n,Ole1998c,wds00492+5720b.png
,004937.25+474550.4,00496+4746,BD+46  176,,4701,3865,6.67,.,1142,d,145,10,m,3,44,16,86,127,49210,d,353,0.47,0.31,82,64,,1993,9,,Gln2006,wds00496+4746u.png
,004937.25+474550.4,00496+4746,BD+46  176,,4701,3865,6.67,.,1325,d,324,24,m,16,68,16,54,139,48876,d,516,0.97,0.15,82,24,,1993,9,,Gln2006,wds00496+4746v.png
,005025.10+503749.6,00504+5038,BU  232AB,684,4777,3926,8.46,8.79,201,y,9,0.531,a,0.033,31.9,2.6,64.9,5.7,1914.52,y,0.29,0.621,0.014,11.4,5.4,2000,2006,3,n,Sca2008a,wds00504+5038b.png
,005043.57+641451.3,00507+6415,MCA   2,,4775,3951,5.7,6.8,5.7255,y,0.0046,0.0341,a,0.0013,140.3,9.1,125.1,9.7,1982.3463,y,0.0093,0.534,0.007,143.31,0.96,2000,1994,3,n,Msn1997b,wds00507+6415e.png
,005050.85+320257.8,00508+3203,A   922,691,,,9.61,9.77,106.44,y,.,0.786,a,.,83.8,.,178.8,.,2058.04,y,.,0.99,.,286.7,.,2000,1999,5,n,Msn2001c,wds00508+3203a.png
,005136.99+223724.4,00516+2237,A  1808,701,4934,4030,7.93,8.22,112.4,y,.,0.121,a,.,17.8,.,163.1,.,1975.99,y,.,0.827,.,231.9,.,2000,2004,3,n,Doc2005b,wds00516+2237c.png
,005152.18-434232.3,00519-4343,I    47,,5042,4049,7.45,7.95,516.5,y,.,1.228,a,.,77,.,4.5,.,1850.7,y,.,0.112,.,298.2,.,2000,2001,5,,Nov2008a,wds00519-4343u.png
,005201.02+315359.3,00520+3154,A   924,705,,,9.8,9.9,164.9,y,.,0.289,a,.,140.7,.,48.5,.,1986.4,y,.,0.682,.,323.3,.,2000,1996,4,,Sey2002,wds00520+3154a.png
,005207.75-131349.1,00521-1314,HU  201,713,5041,4066,10.09,10.47,123.359,y,.,0.508,a,.,36.45,.,116.95,.,1933.639,y,.,0.679,.,171.08,.,1900,,4,n,Sta1977b,wds00521-1314a.png
,005319.51+040510.7,00533+0405,A  2307,732,5143,4176,7.55,8.79,57.67,y,.,0.228,a,.,72.5,.,218.4,.,1956.32,y,.,0.515,.,15.1,.,2000,1995,2,n,Sey1999b,wds00533+0405a.png
,005320.22-453020.7,00533-4530,B   644,,5218,4177,9.05,9.05,375,y,.,0.62,a,.,72.7,.,51,.,2280,y,.,0.855,.,111.3,.,2000,1991,4,,Sey2002,wds00533-4530a.png
,005411.08+431754.1,00542+4318,COU1654,,5178,,8.4,8.4,93,y,.,0.15,a,.,109.7,.,91.5,.,1918,y,.,0.564,.,110,.,2000,1995,4,,Sey2002,wds00542+4318a.png
,005435.22+191118.4,00546+1911,STT  20AB,746,5267,4267,6.12,7.19,335,y,20,0.69,a,0.03,130,2,120.3,2,1904,y,4,0.277,0.025,150.4,5,2000,2000,3,n,Doc2007d,wds00546+1911c.png
,005458.02+233742.4,00550+2338,STF  73AB,755,5286,4288,6.12,6.54,167.71,y,.,1.002,a,.,45.8,.,173.1,.,1956.2,y,.,0.304,.,359.1,.,,1989,2,n,Doc1990b,wds00550+2338a.png
